pubmed_id,has_misdiagnosis,true_wrong_diagnosis,rationale,review_status
40985413,1,subacute cutaneous lupus erythematosus,Tinea incognito mimicking subacute cutaneous LE,AI-proposed
40969728,1,multiple myeloma,SLE+Sjogren's mimicking multiple myeloma,AI-proposed
40962526,0,,TMA correctly diagnosed as SLE/lupus nephritis; no misdiagnosis,AI-proposed
40951187,0,,Susac syndrome; not an SLE confusion,AI-proposed
40941642,0,,CSCR vs HCQ toxicity; not SLE confusion,AI-proposed
40936738,0,,Adult leukoencephalopathy; not SLE,AI-proposed
40927126,0,,NUD vs urticaria dermatosis; not SLE-vs-X,AI-proposed
40918104,0,,NPSLE with primary CNS DLBCL; coexistence,AI-proposed
40842759,0,,KFD patient developing SLE; progression not misdiagnosis,AI-proposed
40842548,1,systemic lupus erythematosus,Visceral leishmaniasis misdiagnosed as SLE,AI-proposed
40833003,1,tuberculosis,SLE with HLH mimicking TB,AI-proposed
40784616,1,burning mouth syndrome,Oral SLE lesions misattributed to burning mouth syndrome,AI-proposed
40764592,0,,GI hemorrhage as SLE manifestation; generic delay no named wrong dx,AI-proposed
40693001,1,aortic intramural hematoma,Lupus aortitis mimicking aortic intramural hematoma,AI-proposed
40677507,1,infection,Azathioprine hypersensitivity mimicking infection,AI-proposed
40527843,0,,Isolated thrombocytopenia as initial SLE; no named wrong dx,AI-proposed
40486548,0,,KFD vs lymphoma; not SLE,AI-proposed
40486387,0,,Sequential SLE in anti-MDA5 DM; coexistence,AI-proposed
40469298,1,malignant rectal carcinoma,Malakoplakia mimicking malignant rectal carcinoma,AI-proposed
40461984,0,,SLE with Jaccoud arthropathy; no misdiagnosis,AI-proposed
40453280,1,eating disorder,SLE mimicking a possible eating disorder,AI-proposed
40417975,0,,LPD/angioedema in SLE+Sjogren's; coexistence,AI-proposed
40399059,1,aseptic meningitis,Lymphocytic hypophysitis initially diagnosed as aseptic meningitis,AI-proposed
40352213,0,,Pediatric SLE cardiomyopathy; delay no named wrong dx,AI-proposed
40212399,0,,SLE+MPO-ANCA overlap syndrome; coexistence,AI-proposed
40191701,1,seronegative rheumatoid arthritis,SLE initially diagnosed as seronegative RA,AI-proposed
40161106,0,,Lupus cystitis before SLE established; no named wrong dx,AI-proposed
40128991,1,idiopathic multicentric Castleman disease,Plasma cell nephritis mimicking iMCD,AI-proposed
40119328,0,,Retinal vasculitis is an SLE manifestation not a wrong diagnosis,AI-proposed
40110311,0,,Necrotizing fasciitis/cutaneous TB in SLE; complication,AI-proposed
40057697,1,erythema multiforme,SLE oral lesions masquerading as erythema multiforme,AI-proposed
40046376,1,dermatomyositis,Initially diagnosed as dermatomyositis later SLE overlap,AI-proposed
39968326,1,,12 years of misdiagnosis of juvenile-onset SLE in a boy,AI-proposed
39912674,0,,Thiotepa toxicity mimicking SJS/TEN; not SLE,AI-proposed
39896180,1,mediastinal lymphoma,Pericardial mesothelioma mimicking lymphoma and systemic rheumatic disease,AI-proposed
39794027,0,,Polypoid endometriosis mimicking malignancy; not SLE confusion,AI-proposed
39732732,0,,Evans syndrome is an SLE presentation not a wrong diagnosis,AI-proposed
39726541,1,primary antiphospholipid syndrome,APS preceding SLE; initially diagnosed as primary APS,AI-proposed
39703291,1,ovarian malignancy,Pseudo-pseudo Meigs CA-125 mimicking ovarian tumor,AI-proposed
39675468,1,autoimmune necrotizing scleritis,Pseudomonas scleritis mimicking autoimmune necrotizing scleritis,AI-proposed
39637678,1,systemic lupus erythematosus,Leprosy rash misdiagnosed as SLE flare,AI-proposed
39588906,1,tuberculous arthritis,Adult-onset Still's initially diagnosed as tuberculous arthritis and SLE,AI-proposed
39479075,1,infective enterocolitis,Lupus enteritis initial SLE manifestation mimicking infective enterocolitis,AI-proposed
39479059,1,aseptic meningitis,SLE masquerading as aseptic meningitis,AI-proposed
39163085,1,tubercular pericarditis,Effusive pericarditis overlap mimicking tubercular pericarditis,AI-proposed
39127821,1,migraine,Juvenile NPSLE recurrent headache misdiagnosed as migraine,AI-proposed
39119967,1,,RVCL-S coexisting with SLE; prone to misdiagnosis,AI-proposed
39113973,1,sporotrichosis,M. marinum infection misdiagnosed as sporotrichosis,AI-proposed
