pubmed_id,disease,figure_index,figure_type,file_path,caption,clinical_relevance,extracted_at,source_pdf
8943239,SLE,8,histology,data/cv/figures/8943239/8.png,"Figure 4. Skin biopsy showed (A) perivascular  and peri-appendageal inflammation (H&E,  ×10), (B) interface changes (H&E, ×40), (C)  melanin incontinence, basal vacuolar  degeneration, apoptotic keratinocyte, and  hyperkeratosis (H&E, ×40), and (D) increase  in dermal mucin (Alcian blue stain, ×40).",unknown,2026-05-18T00:05:47.949520+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,9,histology,data/cv/figures/8943239/9.png,"Figure 4. Skin biopsy showed (A) perivascular  and peri-appendageal inflammation (H&E,  ×10), (B) interface changes (H&E, ×40), (C)  melanin incontinence, basal vacuolar  degeneration, apoptotic keratinocyte, and  hyperkeratosis (H&E, ×40), and (D) increase  in dermal mucin (Alcian blue stain, ×40).",unknown,2026-05-18T00:05:48.010394+00:00,data/cv/pdfs/PMID_8943239.pdf
9053354,SLE,2,rash_image,data/cv/figures/9053354/2.png,FIGURE 1: Malar rash with some yellow crusting as well as involvement,unknown,2026-05-18T00:05:48.108039+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,4,rash_image,data/cv/figures/9053354/4.png,FIGURE 2: Patchy scaling rash of the hands consistent with a discoid rash,unknown,2026-05-18T00:05:48.192657+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,5,rash_image,data/cv/figures/9053354/5.png,FIGURE 3: Patchy scaling rash of the abdomen consistent with a discoid rash,unknown,2026-05-18T00:05:48.235173+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,7,other,data/cv/figures/9053354/7.png,FIGURE 4: Ground-glass opacities of the right lower lung lobe noted on,unknown,2026-05-18T00:05:48.335490+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,10,rash_image,data/cv/figures/9053354/10.png,FIGURE 5: Malar rash crusting over and improving after methylprednisolone treatment,unknown,2026-05-18T00:05:48.399669+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,12,rash_image,data/cv/figures/9053354/12.png,FIGURE 6: Discoid rash of the hands improving after,unknown,2026-05-18T00:05:48.518560+00:00,data/cv/pdfs/PMID_9053354.pdf
9941144,Sjogrens,0,other,data/cv/figures/9941144/0.png,FIGURE 1 Schirmer’s test. Schirmer test of < 5 mm per 5 min (left eye).,unknown,2026-05-18T00:05:48.679129+00:00,data/cv/pdfs/PMID_9941144.pdf
9941144,Sjogrens,1,histology,data/cv/figures/9941144/1.png,"FIGURE 2 Salivary gland biopsy (hematoxylin and eosin). Panel (A) (×40 magniﬁcation) shows multiple labial glandular lobules, local atrophy of individual acini and interstitial ﬁbrosis. Panel (B) (×100 magniﬁcation) shows a lymphocytic focus.",unknown,2026-05-18T00:05:50.152875+00:00,data/cv/pdfs/PMID_9941144.pdf
